block_id,model_name,group_type,group,estimate,ci_low,ci_high,p_value_two_sided,clusters,observations,repetitions,seed
block_b_2024_10_01_2024_11_11,har_rv,volatility_regime,high,0.04809195019887528,0.024763634562233124,0.0745117906329437,0.0009995002498750624,30,3165,2000,650
block_b_2024_10_01_2024_11_11,har_rv,volatility_regime,low,0.05164149545733337,0.03339390602771129,0.06914360702235772,0.0009995002498750624,30,4868,2000,650
block_b_2024_10_01_2024_11_11,har_rv,volatility_regime,normal,0.020103381960791873,-0.0006559853529387635,0.044875226311348736,0.06496751624187906,30,3847,2000,650
block_b_2024_10_01_2024_11_11,ridge,asset,AAPL,0.033824996056551905,0.01689213260995904,0.052543825045056135,0.0009995002498750624,30,1980,2000,650
block_b_2024_10_01_2024_11_11,ridge,asset,AMZN,0.031673705451803376,0.009648001848292755,0.05606267530140496,0.0079960019990005,30,1980,2000,650
block_b_2024_10_01_2024_11_11,ridge,asset,META,0.05687714130051101,0.02335276134927105,0.09088202778999659,0.001999000499750125,30,1980,2000,650
block_b_2024_10_01_2024_11_11,ridge,asset,MSFT,0.047980435377332924,0.023843039987310344,0.07203243318993939,0.0009995002498750624,30,1980,2000,650
block_b_2024_10_01_2024_11_11,ridge,asset,NVDA,0.03426320448179708,-0.031181678487646747,0.1103382941767728,0.3308345827086457,30,1980,2000,650
block_b_2024_10_01_2024_11_11,ridge,asset,TSLA,0.03719835102840542,0.007059424279341438,0.07026389431675184,0.012993503248375811,30,1980,2000,650
block_b_2024_10_01_2024_11_11,ridge,session_tercile,first,0.016790319253344742,0.005268223370753584,0.02860731355638769,0.0079960019990005,30,3600,2000,650
block_b_2024_10_01_2024_11_11,ridge,session_tercile,last,0.06124031676735023,0.03625377656131468,0.09111466548137381,0.0009995002498750624,30,3600,2000,650
block_b_2024_10_01_2024_11_11,ridge,session_tercile,middle,0.04228397885563536,0.026451405001621627,0.05891525919397245,0.0009995002498750624,30,4680,2000,650
block_b_2024_10_01_2024_11_11,ridge,volatility_regime,high,0.047787643678970884,0.024490868099579777,0.07420395018283568,0.0009995002498750624,30,3165,2000,650
block_b_2024_10_01_2024_11_11,ridge,volatility_regime,low,0.051518555565262435,0.033353148756193114,0.06895699872081237,0.0009995002498750624,30,4868,2000,650
block_b_2024_10_01_2024_11_11,ridge,volatility_regime,normal,0.019952973741417992,-0.000784948165621183,0.044689349138348225,0.06796601699150424,30,3847,2000,650
block_b_2024_10_01_2024_11_11,elastic_net,asset,AAPL,0.019336241120195774,0.004543592059679688,0.03439962939227744,0.005997001499250375,30,1980,2000,650
block_b_2024_10_01_2024_11_11,elastic_net,asset,AMZN,0.027416939804725045,0.013050734983303319,0.041068594472881186,0.001999000499750125,30,1980,2000,650
block_b_2024_10_01_2024_11_11,elastic_net,asset,META,0.04535708528189386,0.02492353099483641,0.06735714382011383,0.0009995002498750624,30,1980,2000,650
block_b_2024_10_01_2024_11_11,elastic_net,asset,MSFT,0.03317160251461995,0.017118377494936162,0.050036593683097305,0.0009995002498750624,30,1980,2000,650
block_b_2024_10_01_2024_11_11,elastic_net,asset,NVDA,-0.09712187403804227,-0.13458048138722895,-0.05557278640683775,0.0009995002498750624,30,1980,2000,650
block_b_2024_10_01_2024_11_11,elastic_net,asset,TSLA,-0.014205600610724109,-0.040796490509448946,0.01309676146268736,0.2638680659670165,30,1980,2000,650
block_b_2024_10_01_2024_11_11,elastic_net,session_tercile,first,-0.01651849369025301,-0.02497725200901629,-0.0075354426278045035,0.0029985007496251873,30,3600,2000,650
block_b_2024_10_01_2024_11_11,elastic_net,session_tercile,last,0.017009048846596268,0.00043524754630299404,0.03613078057674416,0.04397801099450275,30,3600,2000,650
block_b_2024_10_01_2024_11_11,elastic_net,session_tercile,middle,0.005526431987403292,-0.005528268371814314,0.016864566314837817,0.37181409295352325,30,4680,2000,650
block_b_2024_10_01_2024_11_11,elastic_net,volatility_regime,high,-0.019261968271277536,-0.036984000305605266,-0.003448970752805655,0.021989005497251374,30,3165,2000,650
block_b_2024_10_01_2024_11_11,elastic_net,volatility_regime,low,0.02734790220450419,0.015207676968310494,0.039245244769258676,0.0009995002498750624,30,4868,2000,650
block_b_2024_10_01_2024_11_11,elastic_net,volatility_regime,normal,-0.011576750218104984,-0.02769048277540029,0.005614921478805059,0.18990504747626186,30,3847,2000,650
