asset,origin_id,contract,option_type,dte,moneyness,rate,dividend_yield,midpoint,quote_age_seconds,relative_spread,iv_success,failure_reason,iv
AAPL,AAPL:2026-06-23T13:45:00+00:00,O:AAPL260724P00295000,put,31,0.9816971713810316,0.0385,0.003534758458172025,5.975,5.159498289,0.2761506276150627,false,INVALID_SPREAD,
AAPL,AAPL:2026-06-23T14:45:00+00:00,O:AAPL260724P00290000,put,31,0.9656366542354822,0.0385,0.003534758458172025,3.875,75.5181908,0.0903225806451612,false,STALE_QUOTE,
AAPL,AAPL:2026-06-23T17:10:00+00:00,O:AAPL260724P00290000,put,31,0.9706788057303521,0.0385,0.003534758458172025,4.15,60.194604239,0.09638554216867457,false,STALE_QUOTE,
AAPL,AAPL:2026-06-23T17:20:00+00:00,O:AAPL260724C00305000,call,31,1.0200327748235845,0.0385,0.003534758458172025,5.65,117.25228338,0.08849557522123894,false,STALE_QUOTE,
AAPL,AAPL:2026-06-23T17:25:00+00:00,O:AAPL260724P00295000,put,31,0.985567285847922,0.0385,0.003534758458172025,5.55,189.613463293,0.07207207207207214,false,STALE_QUOTE,
AAPL,AAPL:2026-06-23T17:30:00+00:00,O:AAPL260724P00290000,put,31,0.9686038744154978,0.0385,0.003534758458172025,3.9,71.483109996,0.07692307692307689,false,STALE_QUOTE,
AAPL,AAPL:2026-06-23T18:30:00+00:00,O:AAPL260724P00295000,put,31,0.9881753927578468,0.0385,0.003534758458172025,5.875,70.010809544,0.07659574468085094,false,STALE_QUOTE,
AAPL,AAPL:2026-06-23T19:00:00+00:00,O:AAPL260724C00305000,call,31,1.0251411669803712,0.0385,0.003534758458172025,5.199999999999999,83.814673767,0.0384615384615385,false,STALE_QUOTE,
AAPL,AAPL:2026-06-23T19:05:00+00:00,O:AAPL260724C00305000,call,31,1.0248655913978493,0.0385,0.003534758458172025,5.199999999999999,383.814673767,0.0384615384615385,false,STALE_QUOTE,
AAPL,AAPL:2026-06-24T16:10:00+00:00,O:AAPL261016C00295000,call,114,0.9870842534966204,0.0385,0.0035506560259705123,21.174999999999997,61.773334446,0.021251475796930312,false,STALE_QUOTE,
AAPL,AAPL:2026-06-24T18:25:00+00:00,O:AAPL260724P00295000,put,30,0.9962513930633886,0.0385,0.0035506560259705123,6.975,65.471240907,0.03584229390681004,false,STALE_QUOTE,
AAPL,AAPL:2026-06-24T19:20:00+00:00,O:AAPL260724P00290000,put,30,0.9828509455703924,0.0385,0.0035506560259705123,5.5,82.098253631,0.054545454545454675,false,STALE_QUOTE,
AAPL,AAPL:2026-06-25T17:35:00+00:00,O:AAPL260731C00295000,call,36,1.0619915040679675,0.0384,0.0036753124015541324,4.449999999999999,73.593076668,0.06741573033707862,false,STALE_QUOTE,
AAPL,AAPL:2026-06-25T17:50:00+00:00,O:AAPL260731P00285000,put,36,1.029810298102981,0.0384,0.0036753124015541324,14.3,79.784560957,0.06293706293706296,false,STALE_QUOTE,
AAPL,AAPL:2026-06-26T15:05:00+00:00,O:AAPL260731P00270000,put,35,0.9631505725395071,0.0383,0.0037915718773697325,5.7,213.141087374,0.0701754385964913,false,STALE_QUOTE,
AAPL,AAPL:2026-06-26T16:40:00+00:00,O:AAPL260731P00275000,put,35,0.9918845807033363,0.0383,0.0037915718773697325,8.525,66.559878384,0.06451612903225815,false,STALE_QUOTE,
AAPL,AAPL:2026-06-26T17:10:00+00:00,O:AAPL260731P00275000,put,35,0.9852040267975496,0.0383,0.0037915718773697325,7.675,75.513655682,0.1107491856677524,false,STALE_QUOTE,
AAPL,AAPL:2026-06-26T17:15:00+00:00,O:AAPL260731C00285000,call,35,1.022018217026465,0.0383,0.0037915718773697325,7.6,67.496385999,0.14473684210526325,false,STALE_QUOTE,
AAPL,AAPL:2026-06-26T17:30:00+00:00,O:AAPL260731P00275000,put,35,0.9849922991511157,0.0383,0.0037915718773697325,7.675,110.111309863,0.08469055374592839,false,STALE_QUOTE,
AAPL,AAPL:2026-06-26T18:10:00+00:00,O:AAPL260731P00270000,put,35,0.9622238061297219,0.0383,0.0037915718773697325,5.574999999999999,158.968707045,0.0807174887892377,false,STALE_QUOTE,
AAPL,AAPL:2026-06-26T18:10:00+00:00,O:AAPL260731P00275000,put,35,0.9800427655024946,0.0383,0.0037915718773697325,7.35,158.970694546,0.08163265306122457,false,STALE_QUOTE,
AAPL,AAPL:2026-06-26T18:30:00+00:00,O:AAPL260731C00285000,call,35,1.0171669224454833,0.0383,0.0037915718773697325,8.425,138.730627593,0.06528189910979215,false,STALE_QUOTE,
AAPL,AAPL:2026-06-26T19:05:00+00:00,O:AAPL260731P00275000,put,35,0.9787870159453304,0.0383,0.0037915718773697325,7.275,76.801692816,0.11683848797250866,false,STALE_QUOTE,
AAPL,AAPL:2026-06-26T19:10:00+00:00,O:AAPL260731C00275000,call,35,0.978195141037954,0.0383,0.0037915718773697325,14.575,120.043415994,0.0583190394511149,false,STALE_QUOTE,
AAPL,AAPL:2026-06-26T19:10:00+00:00,O:AAPL260731P00275000,put,35,0.978195141037954,0.0383,0.0037915718773697325,7.325,109.144674475,0.10238907849829351,false,STALE_QUOTE,
AAPL,AAPL:2026-06-29T15:05:00+00:00,O:AAPL260731C00295000,call,32,1.0472133475328365,0.0387,0.0036681222707423584,4.775,112.409505188,0.05235602094240837,false,STALE_QUOTE,
AAPL,AAPL:2026-06-29T16:00:00+00:00,O:AAPL260731C00285000,call,32,1.0124333925399644,0.0387,0.0036681222707423584,8.725,62.460879015,0.05157593123209161,false,STALE_QUOTE,
AAPL,AAPL:2026-06-29T16:00:00+00:00,O:AAPL260731C00295000,call,32,1.0479573712255772,0.0387,0.0036681222707423584,4.8,62.200768925,0.08333333333333341,false,STALE_QUOTE,
AAPL,AAPL:2026-06-29T17:15:00+00:00,O:AAPL260731C00295000,call,32,1.0532328894283982,0.0387,0.0036681222707423584,4.35,77.801607092,0.06896551724137928,false,STALE_QUOTE,
