model_name,information_set,mechanism_id,b2_variant,variant_type,observations,actual_mean,forecast_mean,forecast_to_actual_ratio,mean_signed_error,qlike,mae,rmse
gamma_glm,B2_residual,regime_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.00022854428832477883,12.41940100565092,-0.00021014208936036903,4156655.1595932096,0.00022757127400142583,0.012350536898960797
har_rv,B2_residual,global_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.000019189730897435615,1.0427955340852995,-7.875319330258596e-7,2350777.288723095,0.00001739585728874849,0.00037910093632229764
gamma_glm,B2_residual,global_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.000151624535630027,8.239479201549342,-0.00013322233666561727,7164902.501033209,0.00015574494790756562,0.012242491495734066
har_rv,B2_residual,global_ridge,primary,residual,15548,0.000018402198964409755,0.00002173752025938165,1.181245801190525,-3.335321294971893e-6,1063134.9837391973,0.00001864067102208671,0.00043360817166963607
ridge,B2_residual,hour_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.000022230768209660864,1.208049551722359,-3.828569245251108e-6,1267152.905360342,0.0000171082514634911,0.00043427429620702745
elastic_net,B2_residual,hour_ridge,primary,residual,15548,0.000018402198964409755,0.00002352624728943978,1.2784476102524511,-5.124048325030028e-6,2349180.970436526,0.000020511821813572113,0.0004309110435816434
gamma_glm,B1,baseline,lag_1_session,baseline,15548,0.000018402198964409755,0.000123106737959933,6.689784095804207,-0.00010470453899552324,0.23235106289166327,0.00011469919049224908,0.01224156004362059
gamma_glm,B2_residual,regime_ridge,primary,residual,15548,0.000018402198964409755,0.00019182410639163592,10.423977415015882,-0.0001734219074272262,5884043.410356789,0.00019236597036585506,0.01234855018215383
har_rv,B2_residual,asset_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.000019364833753600024,1.052310856493402,-9.62634789190272e-7,2711281.4178227633,0.000017528733853954268,0.00037918191921703357
har_rv,B2_residual,regime_ridge,primary,residual,15548,0.000018402198964409755,0.000022693340402852747,1.2331863407597186,-4.291141438442991e-6,1663474.0718441042,0.000018820032663801144,0.0004336451818055447
lightgbm,B2_residual,global_ridge,primary,residual,15548,0.000018402198964409755,0.000018495141002557647,1.0050505941343013,-9.294203814788866e-8,7160.607837043285,8.259947100379041e-6,0.000018554832725380732
ridge,B2_residual,asset_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.000019347731223670098,1.051381482239651,-9.455322592603427e-7,2725905.0832048403,0.000017554997444472535,0.0003796477887091558
ridge,B1,baseline,lag_1_session,baseline,15548,0.000018402198964409755,0.00001955459661447245,1.0626228230817119,-1.1523976500626924e-6,0.2969309331042444,0.000013816497088653171,0.00037951048007908397
